amount,is_mal_ip,is_mal_device,odd_time,txn_count_24h,label
1020.877811046246,0,0,0,1,0
1209.573888707876,0,0,0,2,0
888.864888553002,0,0,0,3,0
1210.443244147981,1,0,0,2,0
2007.7914117741159,0,0,0,1,0
1142.6317792665504,0,0,0,2,0
1052.8787471817711,0,0,0,2,0
2041.9638457289343,0,0,1,4,0
1210.6357883680307,0,0,0,3,0
255.22963452723445,0,0,0,0,0
1801.2882526126136,0,0,0,1,0
1150.4528498793654,0,0,0,1,0
5202.165454400649,1,0,0,3,1
1545.8092875606942,0,1,0,5,0
1575.2895837608828,0,0,0,2,0
5757.394182679555,1,1,1,2,1
1445.7063781777636,0,0,0,0,0
973.0542919234358,0,0,0,2,0
1493.6312067320882,0,0,1,3,0
1085.4594845391453,0,0,0,0,0
773.3002629804444,0,0,0,2,0
636.2519505234807,0,0,0,0,0
2362.336652926409,0,0,0,1,0
5541.386142927411,1,1,0,9,1
884.1742377431781,0,0,0,1,0
2337.9127138238186,0,0,0,3,0
1917.154834676038,0,0,0,2,0
1371.8939407749426,0,0,0,1,0
1584.5158277211376,0,0,0,5,0
1798.623461822614,1,0,0,0,0
1649.334580169587,0,0,0,5,0
1982.3218279070031,0,0,0,2,0
2196.0183179796545,0,0,0,1,0
2098.180411463482,0,0,0,2,0
1868.3286788794917,0,0,0,1,0
716.6490546486701,0,1,0,3,0
8935.246350166875,1,1,0,11,1
183.82311785080765,0,0,1,1,0
5945.539661346345,1,1,1,9,1
937.7759318686741,1,0,0,1,0
721.4245425524786,0,0,0,0,0
1539.5713877190979,0,0,0,0,0
1251.7190646540532,0,0,0,1,0
1039.8510977316791,0,0,1,1,0
1350.9804500858822,0,0,0,2,0
894.571180097467,0,0,0,2,0
1329.861250860741,0,1,0,0,0
1512.0599085260776,0,0,0,1,0
1007.4890941435682,0,0,0,2,0
6542.950431524971,1,1,1,5,1
3726.543278644117,1,1,1,11,1
1209.0084360222233,0,0,0,2,0
3206.875632999896,1,1,0,5,1
1150.7059338578692,0,0,0,2,0
543.8904032842969,0,0,0,1,0
1646.0337998658601,0,0,0,1,0
6306.460748800483,1,1,1,7,1
2397.1809502912256,0,0,0,4,0
2206.6936237633117,0,0,1,4,0
1844.037862426189,0,0,0,1,0
890.4385258750342,0,0,0,3,0
1007.4588597918417,0,0,0,0,0
8712.556440868066,1,1,1,4,1
50.0,0,0,0,0,0
958.1706812812158,0,0,1,0,0
1619.7342522592023,0,0,1,4,0
6063.480227180327,1,1,0,6,1
843.8896181754745,0,0,0,2,0
1452.4936394902286,0,1,0,2,0
1676.2309852680846,0,0,0,4,0
4730.977358011116,1,1,1,8,1
974.9672642603782,0,0,0,0,0
1524.4409629519196,0,0,0,2,0
5364.024621859587,1,1,0,7,1
